date,sydney,melbourne,brisbane,adelaide,perth,agg
2020-09-04,169.45,150.44,110.73,118.45,84.86,141.23
2020-09-03,169.48,150.5,110.74,118.42,84.89,141.27
2020-09-02,169.48,150.51,110.74,118.42,84.9,141.27
2020-09-01,169.5,150.55,110.71,118.41,84.91,141.29
2020-08-31,169.56,150.61,110.7,118.4,84.92,141.32
2020-08-30,169.64,150.62,110.71,118.35,84.89,141.35
2020-08-29,169.64,150.64,110.67,118.4,84.64,141.31
2020-08-28,169.55,150.73,110.67,118.35,84.64,141.3
2020-08-27,169.57,150.74,110.67,118.39,84.67,141.31
2020-08-26,169.62,150.72,110.7,118.35,84.64,141.33
2020-08-25,169.66,150.92,110.65,118.36,84.67,141.39
2020-08-24,169.68,150.95,110.68,118.36,84.65,141.4
2020-08-23,169.74,150.99,110.68,118.34,84.63,141.43
2020-08-22,169.75,151.07,110.57,118.4,84.61,141.44
2020-08-21,169.7,151.14,110.53,118.47,84.72,141.46
2020-08-20,169.81,151.17,110.49,118.47,84.76,141.51
2020-08-19,169.8,151.19,110.49,118.47,84.76,141.51
2020-08-18,169.73,151.32,110.47,118.41,84.81,141.52
2020-08-17,169.76,151.35,110.45,118.46,84.78,141.53
2020-08-16,169.79,151.38,110.51,118.5,84.82,141.57
2020-08-15,169.83,151.43,110.5,118.55,84.64,141.57
2020-08-14,169.93,151.54,110.51,118.51,84.61,141.63
2020-08-13,169.93,151.63,110.52,118.48,84.61,141.66
2020-08-12,169.93,151.69,110.53,118.46,84.61,141.67
2020-08-11,169.95,151.9,110.55,118.43,84.66,141.74
2020-08-10,169.98,151.97,110.55,118.4,84.74,141.78
2020-08-09,170.01,152.05,110.56,118.45,84.71,141.81
2020-08-08,170.1,152.17,110.61,118.51,84.86,141.92
2020-08-07,170.12,152.23,110.61,118.52,84.87,141.95
2020-08-06,170.09,152.25,110.64,118.5,84.87,141.94
2020-08-05,170.08,152.27,110.65,118.43,84.88,141.94
2020-08-04,170.12,152.34,110.66,118.43,84.91,141.98
2020-08-03,170.2,152.39,110.68,118.43,84.9,142.03
2020-08-02,170.28,152.41,110.71,118.43,84.88,142.06
2020-08-01,170.31,152.41,110.74,118.43,84.86,142.07
2020-07-31,170.34,152.44,110.73,118.38,84.9,142.09
2020-07-30,170.4,152.56,110.85,118.3,84.87,142.15
2020-07-29,170.38,152.55,110.79,118.32,84.89,142.14
2020-07-28,170.4,152.64,110.77,118.33,84.9,142.17
2020-07-27,170.47,152.68,110.87,118.3,84.86,142.22
2020-07-26,170.6,152.85,110.83,118.29,84.93,142.32
2020-07-25,170.62,152.87,110.8,118.25,84.99,142.33
2020-07-24,170.68,152.96,110.77,118.23,85.05,142.38
2020-07-23,170.74,153.03,110.79,118.29,85.12,142.45
2020-07-22,170.78,153.02,110.77,118.19,85.06,142.45
2020-07-21,170.84,153.07,110.74,118.19,85.13,142.49
2020-07-20,170.91,153.13,110.85,118.28,85.17,142.56
2020-07-19,170.91,153.13,110.85,118.28,85.17,142.56
2020-07-18,171.04,153.19,110.89,118.37,85.23,142.65
2020-07-17,171.11,153.21,110.85,118.49,85.24,142.68
2020-07-16,171.13,153.22,110.87,118.5,85.24,142.7
2020-07-15,171.21,153.24,110.86,118.48,85.27,142.73
2020-07-14,171.24,153.43,110.89,118.42,85.32,142.8
2020-07-13,171.33,153.43,110.88,118.45,85.3,142.84
2020-07-12,171.35,153.49,110.88,118.48,85.25,142.86
2020-07-11,171.45,153.56,110.9,118.47,85.25,142.92
2020-07-10,171.72,153.63,110.89,118.37,85.38,143.05
2020-07-09,171.72,153.76,110.88,118.33,85.44,143.09
2020-07-08,171.74,153.75,110.89,118.32,85.42,143.09
2020-07-07,171.73,153.92,110.94,118.3,85.4,143.13
2020-07-06,171.77,154.04,110.92,118.38,85.42,143.18
2020-07-05,171.77,154.11,110.96,118.33,85.43,143.21
2020-07-04,171.81,154.16,111,118.3,85.44,143.24
2020-07-03,171.83,154.2,111.01,118.31,85.4,143.26
2020-07-02,171.86,154.24,111.01,118.33,85.44,143.28
2020-07-01,171.84,154.25,111.01,118.32,85.42,143.27
2020-06-30,171.84,154.28,111,118.32,85.41,143.28
2020-06-29,171.94,154.33,111.07,118.34,85.39,143.35
2020-06-28,171.97,154.44,111.06,118.3,85.39,143.38
2020-06-27,172,154.46,111.11,118.36,85.61,143.44
2020-06-26,172.02,154.56,111.13,118.35,85.58,143.47
2020-06-25,172.03,154.65,111.12,118.41,85.64,143.51
2020-06-24,172.13,154.7,111.13,118.42,85.64,143.56
2020-06-23,172.18,154.72,111.21,118.39,85.67,143.61
2020-06-22,172.28,154.83,111.34,118.41,85.72,143.71
2020-06-21,172.35,154.86,111.37,118.53,85.59,143.73
2020-06-20,172.6,155.01,111.41,118.52,85.72,143.9
2020-06-19,172.66,155.11,111.44,118.56,85.74,143.96
2020-06-18,172.68,155.1,111.45,118.62,85.72,143.96
2020-06-17,172.75,155.18,111.4,118.58,85.78,144.01
2020-06-16,172.79,155.3,111.42,118.6,85.78,144.06
